epoch,loss,lr
0,0.2222819460133216,0.0001
1,0.11692888996659075,0.0001
2,0.10209998914837243,0.0001
3,0.09414998408955083,0.0001
4,0.08707330238882294,0.0001
5,0.0818910214334652,0.0001
6,0.07771816281392761,0.0001
7,0.07399227647134045,0.0001
8,0.07190129955408356,0.0001
9,0.0703839573131275,0.0001
10,0.06794308689411294,0.0001
11,0.06612941792276583,0.0001
12,0.06499858420026347,0.0001
13,0.06133417551059675,0.0001
14,0.06264478497049235,0.0001
15,0.06038606717504394,0.0001
16,0.06013943711435074,0.0001
17,0.0589669300672921,0.0001
18,0.057798066599169126,0.0001
19,0.056609659100374084,0.0001
20,0.05478574341149104,0.0001
21,0.05442925351683487,0.0001
22,0.05286101660484499,0.0001
23,0.052436074169998306,0.0001
24,0.05282946106306558,0.0001
25,0.051661537698890425,0.0001
26,0.05146011351921277,0.0001
27,0.05245380713708903,0.0001
28,0.049012988696613365,0.0001
29,0.048230354400686085,0.0001
30,0.04808178212043093,0.0001
31,0.04876334716140889,0.0001
32,0.04739790294955756,0.0001
33,0.04680219182438052,0.0001
34,0.045757529749639536,0.0001
35,0.045899079615561444,0.0001
36,0.04478677461838856,0.0001
37,0.044376331229376,0.0001
38,0.04435236955368125,0.0001
39,0.04452389634871609,0.0001
40,0.044518930995442026,0.0001
41,0.04314558695946028,0.0001
42,0.042729847227220896,0.0001
43,0.045512493201612755,0.0001
44,0.04178404519241535,0.0001
45,0.04133776457227785,0.0001
46,0.0416415954633451,0.0001
47,0.04230002143729172,0.0001
48,0.04136914911765856,0.0001
49,0.0409856884382628,0.0001
50,0.03973628434949459,0.0001
51,0.038352654251662496,0.0001
52,0.04096480276890824,0.0001
53,0.03848273673575567,0.0001
54,0.03945703353347289,0.0001
55,0.038523825097996324,0.0001
56,0.038908121007682754,0.0001
57,0.03906607263584498,0.0001
58,0.03676186563642208,0.0001
59,0.03696858878491303,0.0001
60,0.03822732588945147,0.0001
61,0.03840625407336805,0.0001
62,0.03689336417790995,0.0001
63,0.037336748745989176,0.0001
64,0.03705595618118521,0.0001
65,0.036838165958158836,0.0001
66,0.03631498388994829,0.0001
67,0.03600140427357687,0.0001
68,0.036684738727579096,0.0001
69,0.03608970789289906,0.0001
70,0.03727888061834541,0.0001
71,0.038487057972634374,0.0001
72,0.035064989559240915,0.0001
73,0.036078226889606727,0.0001
74,0.03470702809769372,0.0001
75,0.03525753350791398,0.0001
76,0.034665754176978196,0.0001
77,0.03447351389520446,0.0001
78,0.033445230280478806,0.0001
79,0.0362688675215073,0.0001
80,0.03343137936838473,0.0001
81,0.03349403425368325,0.0001
82,0.0327876616348315,0.0001
83,0.0344271988380338,0.0001
84,0.034765598664357515,0.0001
85,0.034231125954840506,0.0001
86,0.033112999174321193,0.0001
87,0.0342203323570245,0.0001
88,0.03264637397221311,0.0001
89,0.03188149385244825,0.0001
90,0.033245980012070325,0.0001
91,0.03238962513355171,0.0001
92,0.03284205267835232,0.0001
93,0.03140419690365766,0.0001
94,0.0315256024446069,0.0001
95,0.03157841331822486,0.0001
96,0.03193395448607065,0.0001
97,0.03165851469718366,0.0001
98,0.031112540953971465,0.0001
99,0.03157075833264469,0.0001
100,0.03128685771912671,0.0001
101,0.030574795290098485,0.0001
102,0.030174966378978214,0.0001
103,0.031138381955592414,0.0001
104,0.03147993821121214,0.0001
105,0.031119588491369848,0.0001
106,0.030283770468225356,0.0001
107,0.031767940864041264,0.0001
108,0.031236271674110742,0.0001
109,0.030416905406764953,0.0001
110,0.03062866746153023,0.0001
111,0.03145608337807406,0.0001
112,0.030949864791418213,0.0001
113,0.02996559822850598,0.0001
114,0.030223411661189543,0.0001
115,0.029567991231249976,0.0001
116,0.0301497015495903,0.0001
117,0.030450267071006565,0.0001
118,0.029729464400833717,0.0001
119,0.029541776289680317,0.0001
120,0.029103243757768574,0.0001
121,0.03008649505540134,0.0001
122,0.029285677405599123,0.0001
123,0.02874442949331368,0.0001
124,0.0290634201745505,0.0001
125,0.029262670112002707,0.0001
126,0.02926707723319642,0.0001
127,0.028081351633943114,0.0001
128,0.02956390658630397,0.0001
129,0.028460927408053876,0.0001
130,0.0284480663292816,0.0001
